sl_no,sku,name,category,subcategory,description,tags,sellingPrice,netPrice,costGold,costStone,costMaking,costOther,stockQuantity,lowStockThreshold,metal,purity,grossWeight,netWeight,stoneWeight,stoneType,stoneQuality,hsnCode,barcode,status
1,RN001,"Diamond Solitaire Ring","Engagement Rings","Solitaire Rings","Classic 1ct solitaire diamond ring in 18K gold","classic,solitaire,diamond",85000,72000,25000,40000,5000,2000,5,2,"18K Yellow Gold",18K,4.5,4.2,0.3,"Natural Diamond",VVS1,7113,89010001,active
2,RN002,"Oval Diamond Engagement Ring","Engagement Rings","Designer Rings","Stunning oval cut diamond with side stones","oval,engagement,luxury",125000,98000,35000,55000,6000,2000,4,2,"18K White Gold",18K,5.2,4.8,0.4,"Natural Diamond",VS1,7113,89010032,active
3,RN003,"Princess Cut Ring","Engagement Rings","Solitaire Rings","Elegant princess cut diamond ring","princess,solitaire,modern",95000,78000,28000,42000,6000,2000,6,2,"18K White Gold",18K,4.8,4.5,0.3,"Lab Grown Diamond",VVS2,7113,89010033,active
4,RN004,"Three Stone Engagement Ring","Engagement Rings","Designer Rings","Past, present, future three stone design","three stone,symbolic,engagement",145000,115000,40000,65000,8000,2000,3,1,"Platinum",PT950,6.5,6.0,0.5,"Natural Diamond",VS1,7113,89010034,active
5,RN005,"Halo Engagement Ring","Engagement Rings","Halo Rings","Round brilliant with diamond halo","halo,brilliant,sparkling",110000,88000,32000,48000,6000,2000,5,2,"18K Rose Gold",18K,5.0,4.6,0.4,"Natural Diamond",VS2,7113,89010035,active
6,RN006,"Cushion Cut Engagement Ring","Engagement Rings","Designer Rings","Vintage style cushion cut","cushion,vintage,romantic",135000,108000,38000,60000,8000,2000,3,1,"18K Yellow Gold",18K,5.8,5.3,0.5,"Natural Diamond",VVS2,7113,89010036,active
7,NK001,"Gold Temple Necklace","Gold Jewellery","Necklaces","Traditional temple design necklace with ruby accents","temple,traditional,ruby,wedding",145000,121000,95000,5000,18000,3000,3,1,"22K Yellow Gold",22K,25.4,24.8,0.6,Ruby,AAA,7113,89010002,active
8,ER001,"Pearl Drop Earrings","Silver Jewellery","Earrings","Elegant sterling silver earrings with fresh water pearls","pearl,silver,drop earrings,office wear",4500,3500,800,1200,1000,500,15,5,"Sterling Silver",925,8.2,7.5,0.7,Pearl,AAA,7113,89010003,active
9,BR001,"Platinum Wedding Band","Wedding Rings","Bands","Minimalist platinum wedding band for men","platinum,men,wedding band,minimalist",42000,35000,28000,0,5000,2000,8,2,Platinum,PT950,6.5,6.5,0,None,None,7113,89010004,active
10,PD001,"Sapphire Pendant","Diamond Jewellery","Pendants","Blue sapphire pendant surrounded by small diamonds","sapphire,blue stone,cluster,pendant",35000,28000,10000,12000,4000,2000,6,2,"18K White Gold",18K,3.2,2.8,0.4,Sapphire,VS,7113,89010005,active
11,BG001,"Gold Bangle Set","Gold Jewellery","Bangles","Set of 4 refined gold bangles with intricate cutting","bangles,set,daily wear,cutting work",210000,185000,160000,0,20000,5000,4,1,"22K Yellow Gold",22K,35.0,35.0,0,None,None,7113,89010006,active
12,RN007,"Emerald Cocktail Ring","Gold Jewellery","Rings","Statement ring with a large emerald center stone","emerald,green stone,cocktail,statement",65000,52000,18000,28000,4000,2000,3,1,"18K Yellow Gold",18K,5.8,5.1,0.7,Emerald,AAA,7113,89010007,active
13,NK002,"Diamond Tennis Necklace","Diamond Jewellery","Necklaces","Full diamond tennis necklace, 5ct total weight","tennis necklace,luxury,party wear,diamond",350000,280000,60000,190000,25000,5000,2,1,"18K White Gold",18K,18.5,17.5,1.0,"Lab Grown Diamond",VS,7113,89010008,active
14,ER002,"Gold Jhumka Earrings","Gold Jewellery","Earrings","Traditional heavy jhumka earrings with detailing","jhumka,traditional,heavy,wedding",55000,45000,35000,0,8000,2000,5,2,"22K Yellow Gold",22K,12.5,12.5,0,None,None,7113,89010009,active
15,BR002,"Rose Gold Bracelet","Gold Jewellery","Bracelets","Modern rose gold chain bracelet with heart charms","rose gold,heart,modern,bracelet",28000,22000,15000,0,5000,2000,10,3,"18K Rose Gold",18K,5.5,5.5,0,None,None,7113,89010010,active
16,CH001,"Gold Mangalsutra","Gold Jewellery","Mangalsutra","Traditional gold mangalsutra with black beads","mangalsutra,black beads,married,traditional",85000,70000,60000,0,8000,2000,4,1,"22K Yellow Gold",22K,15.2,14.8,0.4,"Black Beads",None,7113,89010011,active
